               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.011771,            0.006171,           0.0012987,             0.99753,             0.99974,               0.995,             0.91273,           0.0056934,           0.0025015,          0.00040304,            0.002872,            0.002872,            0.002872
                  74,            0.011752,           0.0056368,           0.0010276,             0.99741,             0.99993,               0.995,             0.92972,           0.0048558,           0.0024393,          0.00041144,            0.002773,            0.002773,            0.002773
                  75,            0.011306,           0.0056966,           0.0018722,             0.99597,             0.99998,               0.995,             0.92664,           0.0049179,           0.0023837,          0.00038506,            0.002674,            0.002674,            0.002674
                  76,             0.01084,           0.0055818,           0.0014076,             0.99759,             0.99847,               0.995,             0.92607,            0.004816,           0.0023864,          0.00034476,            0.002575,            0.002575,            0.002575
                  77,            0.010653,           0.0057054,           0.0012809,             0.99714,             0.99952,               0.995,             0.93947,           0.0051302,           0.0023182,          0.00031995,            0.002476,            0.002476,            0.002476
                  78,            0.010887,           0.0055615,           0.0015381,             0.99856,             0.99836,               0.995,             0.93667,           0.0048892,           0.0023211,          0.00033277,            0.002377,            0.002377,            0.002377
                  79,            0.010494,            0.005592,           0.0012954,              0.9984,             0.99825,               0.995,             0.94112,           0.0051335,           0.0022948,          0.00033565,            0.002278,            0.002278,            0.002278
                  80,            0.010556,           0.0053325,            0.001338,              0.9985,             0.99808,               0.995,             0.93426,           0.0049847,           0.0023437,          0.00032337,            0.002179,            0.002179,            0.002179
                  81,            0.010518,           0.0056199,           0.0013568,             0.99835,             0.99818,               0.995,             0.94581,           0.0045651,            0.002222,           0.0003098,             0.00208,             0.00208,             0.00208
                  82,            0.011157,           0.0057829,           0.0021706,             0.99811,             0.99835,               0.995,              0.9474,           0.0042804,           0.0022172,          0.00029198,            0.001981,            0.001981,            0.001981
                  83,            0.010823,           0.0058209,           0.0019394,             0.99823,             0.99833,               0.995,             0.94772,           0.0044054,           0.0022825,           0.0002877,            0.001882,            0.001882,            0.001882
                  84,            0.010096,           0.0055143,           0.0018676,             0.99804,             0.99842,               0.995,             0.93599,            0.004298,           0.0022499,          0.00027217,            0.001783,            0.001783,            0.001783
                  85,           0.0098077,           0.0052805,           0.0010005,             0.99776,             0.99839,               0.995,             0.94978,           0.0042435,           0.0022408,          0.00026596,            0.001684,            0.001684,            0.001684
                  86,           0.0098463,           0.0055212,           0.0010554,             0.99821,             0.99833,               0.995,             0.94846,           0.0040907,           0.0021516,          0.00024431,            0.001585,            0.001585,            0.001585
                  87,           0.0098507,           0.0054759,            0.001458,             0.99817,             0.99836,               0.995,             0.94929,           0.0039656,           0.0021301,          0.00023705,            0.001486,            0.001486,            0.001486
                  88,           0.0095192,           0.0053115,            0.001739,             0.99836,             0.99839,               0.995,             0.95282,           0.0040117,           0.0021407,          0.00023033,            0.001387,            0.001387,            0.001387
                  89,           0.0096696,           0.0053489,           0.0014904,             0.99829,             0.99847,               0.995,             0.95585,           0.0040353,           0.0021033,          0.00022413,            0.001288,            0.001288,            0.001288
                  90,           0.0099022,           0.0054712,           0.0013921,             0.99857,             0.99832,               0.995,             0.94827,           0.0040851,           0.0020982,           0.0002211,            0.001189,            0.001189,            0.001189
                  91,           0.0098212,            0.005472,           0.0011749,             0.99863,             0.99838,               0.995,             0.95019,           0.0040296,           0.0020975,          0.00020329,             0.00109,             0.00109,             0.00109
                  92,           0.0093063,           0.0054442,           0.0012551,              0.9977,             0.99952,               0.995,              0.9555,           0.0040235,           0.0021168,          0.00019229,            0.000991,            0.000991,            0.000991
                  93,           0.0092695,            0.005043,          0.00079291,             0.99773,             0.99952,               0.995,             0.95323,           0.0038991,           0.0021088,          0.00018724,            0.000892,            0.000892,            0.000892
                  94,           0.0095648,           0.0052209,          0.00080814,             0.99785,             0.99967,               0.995,              0.9571,           0.0037313,           0.0020686,          0.00018325,            0.000793,            0.000793,            0.000793
                  95,           0.0086017,           0.0052589,          0.00092401,             0.99774,              0.9996,               0.995,             0.95744,            0.003766,           0.0020687,          0.00017639,            0.000694,            0.000694,            0.000694
                  96,           0.0085297,           0.0048542,          0.00092456,             0.99758,             0.99957,               0.995,             0.95721,           0.0038131,           0.0020485,          0.00016675,            0.000595,            0.000595,            0.000595
                  97,           0.0092152,           0.0049903,           0.0011412,             0.99766,             0.99958,               0.995,             0.95789,            0.003696,           0.0020149,          0.00015985,            0.000496,            0.000496,            0.000496
                  98,           0.0084987,           0.0052427,          0.00091644,             0.99793,             0.99967,               0.995,             0.95051,            0.003707,           0.0020203,          0.00015678,            0.000397,            0.000397,            0.000397
                  99,           0.0088364,           0.0051515,           0.0017852,             0.99787,              0.9996,               0.995,             0.95624,           0.0036677,           0.0020161,          0.00015517,            0.000298,            0.000298,            0.000298
